x_mm x_m Phi_ba(Wb) Lb(H) Kb(N/A) dLb_dx(H/m) dPhi_ba_dx(Wb/m)
0 0 0.02727790994272977 0.0008968808411576931 -0.9616311734666356 0.01888921590460724 -0.9726797794399542
1 0.001 0.02630523016328982 0.0009145028231630596 -0.9902308260940627 0.01593128050441606 -0.9874542870235217
2 0.002 0.02530300136868273 0.0009286362338242586 -1.017496030716388 0.0122783721482147 -1.018113172883686
3 0.003 0.02426900381752244 0.0009384924744324924 -1.042720243525393 0.007925336626645407 -1.042247616813881
4 0.004 0.02321850613505496 0.0009441098013933322 -1.063572676134246 0.003101280962448882 -1.061439515293545
5 0.005 0.02214612478693535 0.0009449784362716724 -1.07692964151208 -0.001792160034676638 -1.075512140348402
6 0.006 0.02106748185435816 0.0009408391161465288 -1.079559390198738 -0.00649104280103896 -1.076403959058834
7 0.007 0.01999331686881769 0.0009320946864059682 -1.071032737687124 -0.01123577219769678 -1.068136685380376
8 0.008 0.01893120848359741 0.0009184578781508586 -1.053247335528115 -0.0160391264440547 -1.052087304202585
9 0.009000000000000001 0.01788914226041252 0.0009000458533273206 -1.029851003262101 -0.02051836659399675 -1.029357842628498
10 0.01 0.01687249279834041 0.0008776223997269787 -1.00365437067659 -0.02441593451341173 -1.002236086875131
11 0.011 0.01588467008666225 0.0008514549477656799 -0.9759628455025864 -0.02764962556213435 -0.9740012078440201
12 0.012 0.01492449038265237 0.0008223308235671507 -0.9471928470274293 -0.03027128077050234 -0.9463045578144078
13 0.013 0.01399206097103344 0.0007909615328655015 -0.9175630857647112 -0.03233774768523368 -0.9168667963613064
14 0.014 0.01309075678992976 0.0007577277326122692 -0.8874012836798479 -0.0338700670136457 -0.8861860007870152
15 0.015 0.01221968896945941 0.0007232635792826384 -0.8567350997049703 -0.0349253222148076 -0.8561363244959366
16 0.016 0.01137848414093788 0.0006879810412008169 -0.8256154042832979 -0.03553283525096007 -0.8260963264134389
17 0.017 0.01056749631663253 0.0006522573170684182 -0.7941182156779261 -0.03573269038084825 -0.7946045428670291
18 0.018 0.009789275055203826 0.0006165826634243077 -0.7623900817427136 -0.03556432635951223 -0.7623325778605737
19 0.019 0.009042831160911383 0.0005812171119829587 -0.7304352562139302 -0.03505127446093093 -0.730421579269361
20 0.02 0.008328431896665104 0.0005465609561539904 -0.6982687689324341 -0.0342331361138084 -0.6975212162406175
21 0.021 0.007647788728430148 0.0005129330478732441 -0.6660084128303185 -0.03315359796629958 -0.6654515583010977
22 0.022 0.006997528780062909 0.000480410392019496 -0.6335118373204746 -0.03181933307848373 -0.6337917151381587
23 0.023 0.006380205298153831 0.0004493344812968913 -0.6009012862938472 -0.03027903564256473 -0.6008164261564623
24 0.024 0.005795895927749984 0.000419920061113271 -0.568199704620767 -0.02856539037051264 -0.567967325326007
25 0.025 0.005244270647501817 0.0003922871846842404 -0.535393362932483 -0.02670558809074231 -0.5355879450501919
26 0.026 0.0047247200376496 0.0003665342440485947 -0.5024500048558143 -0.02472920941411178 -0.5028061238920908
27 0.027 0.004238658399717635 0.0003428221327069522 -0.4694608675902183 -0.02267434686396364 -0.4693228184995308
28 0.028 0.003786074400650539 0.0003212047205870831 -0.4364498706616477 -0.02057076029607863 -0.4360491514886044
29 0.029 0.003366560096740426 0.000301718257754774 -0.4033871722605295 -0.01845161347554186 -0.4033182699335924
30 0.03 0.002979437860783354 0.0002843100776806292 -0.3701899169282935 -0.01633681991917901 -0.3701915703917466
31 0.031 0.002626176955956933 0.0002690270028689005 -0.3370391978793943 -0.01427544636306211 -0.3370382259773286
32 0.032 0.002305361408828697 0.0002557404078309719 -0.3037267546387126 -0.0122802040608252 -0.3038949101967082
33 0.033 0.002018387135563517 0.0002444192048843996 -0.2704806110105513 -0.01040226920438031 -0.2703597626990378
34 0.034 0.001764641883430621 0.000234900101901248 -0.2373132265812621 -0.008665251723673828 -0.2372905222798439
35 0.035 0.001543806091003829 0.0002270340102001452 -0.2041664144343527 -0.007107476234668314 -0.2043294679608933
36 0.036 0.001355982947508835 0.0002206154342804347 -0.1717830448775407 -0.005773316981955046 -0.172136670835675
37 0.037 0.001199532749332479 0.0002154013436754931 -0.1415038239048999 -0.004702575720828967 -0.1424173681781803
38 0.038 0.001071148211152474 0.0002111322226094827 -0.1162219697936993 -0.003878132935668036 -0.1172945103105806
39 0.039 0.0009649437287113175 0.0002075858266132169 -0.09706324570958422 -0.003234861762496474 -0.09790547625525477
40 0.04 0.0008753372586419645 0.0002046177217666798 -0.08270914127941842 -0.002719933288095597 -0.08329527804737434
41 0.041 0.0007983531726165688 0.0002021143674916466 -0.07164684323170557 -0.002302694952403622 -0.0745711698717413
41.472 0.041472 0.0007655684965907612 0.0002010672597851647 -0.06725189070620732 -0.002132572346455142 -0.06945905937671083
