x_mm Phi0 Phip Phim F0 Fp Fm
0 0.02727790994272977 0.02817479078388496 0.02638102910156957 0 -0.952186565514332 0.9710757814189392
1 0.02630523016328982 0.02721973298644402 0.0253907273401179 0 -0.9822651858418546 0.9981964663462707
2 0.02530300136868273 0.0262316376016821 0.02437436513403359 0 -1.011356844642281 1.023635216790496
3 0.02426900381752244 0.02520749629195531 0.02333051134309033 0 -1.038757575212071 1.046682911838716
4 0.02321850613505496 0.02416261593645702 0.02227439633367036 0 -1.062022035653022 1.065123316615471
5 0.02214612478693535 0.02309110322322795 0.0212011463506846 0 -1.077825721529418 1.076033561494742
6 0.02106748185435816 0.02200832097049324 0.02012664273820018 0 -1.082804911599258 1.076313868798219
7 0.01999331686881769 0.02092541155523645 0.01906122218242451 0 -1.076650623785972 1.065414851588275
8 0.01893120848359741 0.01984966636130938 0.01801275060500767 0 -1.061266898750143 1.045227772306088
9 0.01788914226041252 0.01878918811374369 0.01698909640708905 0 -1.0401101865591 1.019591819965103
10 0.01687249279834041 0.01775011519802843 0.01599487039857447 0 -1.015862337933296 0.9914464034198839
11 0.01588467008666225 0.01673612503528538 0.01503321513975402 0 -0.9897876582836536 0.9621380327215192
12 0.01492449038265237 0.01574682120622288 0.01410215955908858 0 -0.9623284874126805 0.9320572066421782
13 0.01399206097103344 0.01478302250234265 0.01320109943661165 0 -0.933731959607328 0.9013942119220944
14 0.01309075678992976 0.01384848452249302 0.01233302905726848 0 -0.9043363171866707 0.870466250173025
15 0.01221968896945941 0.01294295254865843 0.01149642539009315 0 -0.8741977608123741 0.8392724385975665
16 0.01137848414093788 0.01206646518237665 0.01069050309997502 0 -0.843381821908778 0.8078489866578179
17 0.01056749631663253 0.01121975363571329 0.009915239001576448 0 -0.8119845608683501 0.7762518704875019
18 0.009789275055203826 0.01040585771838696 0.009172692391538341 0 -0.7801722449224697 0.7446079185629575
19 0.009042831160911383 0.009624048273593491 0.008461614049627574 0 -0.7479608934443958 0.7129096189834648
20 0.008328431896665104 0.00887499285278149 0.007781870940473509 0 -0.7153853369893383 0.6811522008755299
21 0.007647788728430148 0.008160721776332074 0.007134855680585586 0 -0.6825852118134683 0.6494316138471687
22 0.006997528780062909 0.007477939172015419 0.006517118387976427 0 -0.6494215038597164 0.6176021707812327
23 0.006380205298153831 0.00682953977940856 0.005930870816814778 0 -0.6160408041151296 0.5857617684725649
24 0.005795895927749984 0.00621581598878047 0.005375975866553928 0 -0.5824823998060232 0.5539170094355106
25 0.005244270647501817 0.005636557832107585 0.004851983462739104 0 -0.5487461569778541 0.5220405688871118
26 0.0047247200376496 0.005091254283332003 0.004358185795234813 0 -0.5148146095628702 0.4900854001487584
27 0.004238658399717635 0.004581480535384125 0.00389583626997022 0 -0.4807980410222001 0.4581236941582365
28 0.003786074400650539 0.004107279117547051 0.003464869676372885 0 -0.446735250809687 0.4261644905136084
29 0.003366560096740426 0.003668278364664137 0.003064841849154589 0 -0.4126129789983004 0.3941613655227585
30 0.002979437860783354 0.003263747944902155 0.002695127789540897 0 -0.378358326887883 0.362021506968704
31 0.002626176955956933 0.0028952039631381 0.0023571499574003 0 -0.3441769210609253 0.3299014746978632
32 0.002305361408828697 0.002561101821998024 0.00204962100633608 0 -0.3098668566691252 0.2975866526083
33 0.002018387135563517 0.002262806340913454 0.001773967931144655 0 -0.2756817456127415 0.2652794764083611
34 0.001764641883430621 0.001999541984167175 0.001529741780364679 0 -0.241645852443099 0.2329806007194251
35 0.001543806091003829 0.001770840108272104 0.001316772087871814 0 -0.2077201525516869 0.2006126763170185
36 0.001355982947508835 0.001576598381044948 0.001135367512484078 0 -0.1746697033685182 0.1688963863865632
37 0.001199532749332479 0.001414934091506272 0.0009841314041552859 0 -0.1438551117653143 0.1391525360444854
38 0.001071148211152474 0.001282280434403602 0.0008600159891846368 0 -0.1181610362615333 0.1142829033258652
39 0.0009649437287113175 0.001172529556627442 0.0007573579034010078 0 -0.09868067659083245 0.09544581482833597
40 0.0008753372586419645 0.001079954979953905 0.000670719536420545 0 -0.08406910792346621 0.08134917463537061
41 0.0007983531726165688 0.001000467549933452 0.0005962388149501592 0 -0.07279819070790738 0.07049549575550376
41.472 0.0007655684965907612 0.0009666357551782897 0.0005645012356079604 0 -0.06831817687943489 0.06618560453297975
